Header,Rating,Review,Product
Works As Advertised!,5.0 ,"Wanted something we could use from our phones regardless if we are home or not! This is it! Scheduling can be confusing, but easy once figured out. You must set a ""switch"" for every time you want it to turn on or off. Example: Switch on at 5:00. Switch on at 14:00. And so on. It's in military time and only uses the 2.4ghz network, but it works like a charm and it's nice having a smart timer!","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
I can easy to turn on or off my light,5.0 ,"This product package well and arrived very fast! And it took me a few minutes to figure out how to use it. These plugs are small and I can use it in different rooms. The main reason that I bought this product cause I'm lazy,this plug help me a lot,I can easy to turn on or off my light. And I'm thinking of buy more to give my brother , I think he will love it.","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
smart plug,5.0 ,"has to read through the instruction,and download app to find out how this item work.it is easy to use after you get to know it.turn any eletranic off or on with swipe of your phone screen.how that easy.save on power bill,specially on ac.3pack good enough for most need outlet.nice item","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
So Convenient to control home,5.0 ,This is my second time buying a smart plug and this has a WiFi function! I can control using my phone. Well the other ones came with controllers but i have to bring a controller everywhere. This is so convenient and useful.,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
"Easy set up, reliable service",5.0 ,"Got six of these (two packages) and placed them around our house. Set up was a snap and they’re working through my echo dot, so now I control all the lights in the living room with my voice. Pretty good deal-recommended.","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
It's works great,5.0 ,"It's great to have extra USB charger on the side for my aquarium, it also able to schedule time by time for turn on and off. I don't have to turn on and off my aquarium light manually, great add for house uses too.","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
"My 3rd time to buy the smart plug, because I realized this is real useful ...",5.0 ,"My 3rd time to buy the smart plug, because I realized this is real useful to manage all your electricity - I automated everything, include the TV/Box/Cameras and lamps. This brand have an 5V 2.1AUSB, which is quite useful.","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
Smart and Powerful,5.0 ,Never realized I have so much power in the house until I set up all 3 of the plugs! It's so easy to set up and the USB charger is icing on the cake. Now I truly felt I'm the owner of the house :),"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
"I bought a lot of WiFi socket, recently newly ...",5.0 ,"I bought a lot of WiFi socket, recently newly bought new band of WiFi, it is very suitable to control all kinds of electric appliance use, this kind of socket also has a USB port, added more use choice.","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
"This package comes with 3 smart plugs, and them all can connect with your ...",5.0 ,"Very offertable combo to make your home become smarter! This package comes with 3 smart plugs, and them all can connect with your cellphone. Use it individually, but in one same app. Good one","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
This smart plug is easy to use,5.0 ,"This smart plug is easy to use, use mobile phone app can control the switchs and timing functions, the timing function can also work when it is no connect network, very convenient","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
They work as expected and I like the product,4.0 ,The app that the package suggest doesn’t work with google home. I used a different app and got the switches to work. They work as expected and I like the product. Might consider buying more of these hold up.,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
Great smart plug,5.0 ,"Great smart plug, you can easily connect mobile phones and smart devices, you go out to work to control the home of the lamp loft exhaust fan, very good product","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
Good value,5.0 ,Easy to use. Pairing is pretty smooth. App is user friendly and works as expect. Used it to control floor lamp. Pretty neat.,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
this socket is really very easy to use,5.0 ,"Bought a pre-installed, see with three loaded cheaper to buy, this socket is really very easy to use, very convenient","Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
